,datetime,state_code,country_code,lat,lon,city_name,station_id,ts,rh,clouds,pres,snow,snow_depth,precip,wind_spd,wind_dir,max_wind_spd,max_wind_dir,wind_gust_spd,temp,max_temp,min_temp
0,2018-08-30,05,NO,77.1177,28.7501,Mehamn,010160-99999,1535580000,97.5,18,1000.1,,,0,7.5,172,15,220,15,3.3,3.9,2.6
1,2018-08-29,05,NO,77.1177,28.7501,Mehamn,010160-99999,1535493600,91.7,22,1012.2,,,0,6.2,205,9,230,9,2.2,3.0,0.4
2,2018-08-28,05,NO,77.1177,28.7501,Mehamn,010160-99999,1535407200,95.0,4,1007.3,,,0,5.5,57,7,360,7,0.8,1.3,0.3
3,2018-08-27,05,NO,77.1177,28.7501,Mehamn,010160-99999,1535320800,87.8,2,1004.6,,,0,2.7,177,5,360,5,2.0,3.2,1.0
4,2018-08-26,05,NO,77.1177,28.7501,Mehamn,010160-99999,1535234400,91.5,0,995.9,,,0,8.5,86,13,360,13,1.5,1.8,1.3
5,2018-08-25,05,NO,77.1177,28.7501,Mehamn,010160-99999,1535148000,88.0,8,1005.9,,,0,7.3,36,12,70,12,1.9,2.3,0.9
6,2018-08-24,05,NO,77.1177,28.7501,Mehamn,010160-99999,1535061600,88.7,49,1006.7,,,0,8.9,20,10,30,10,2.0,2.8,1.4
7,2018-08-23,05,NO,77.1177,28.7501,Mehamn,010160-99999,1534975200,86.0,65,1006.0,,,0,3.3,58,8,340,8,3.0,4.5,1.3
8,2018-08-22,05,NO,77.1177,28.7501,Mehamn,010160-99999,1534888800,88.0,68,998.5,,,0,1.4,265,2,330,2,2.7,4.0,1.7
9,2018-08-21,05,NO,77.1177,28.7501,Mehamn,010160-99999,1534802400,94.9,74,990.0,,,0,8.7,51,11,360,11,2.3,2.6,2.0
